MaxTemperature,AvgTemperature,MinTemperature
0.27272727272727293,0.2087912087912085,0.45454545454545436
0.36363636363636376,0.27472527472527464,0.36363636363636354
0.4545454545454546,0.39560439560439553,0.36363636363636354
0.5454545454545454,0.4945054945054945,0.5454545454545452
0.4545454545454546,0.4725274725274726,0.5454545454545452
0.4545454545454546,0.5054945054945055,0.5454545454545452
0.6363636363636362,0.5384615384615383,0.5454545454545452
0.6363636363636362,0.4835164835164836,0.5454545454545452
0.5454545454545454,0.4285714285714284,0.45454545454545436
0.36363636363636376,0.29670329670329654,0.2727272727272727
0.4545454545454546,0.34065934065934034,0.36363636363636354
0.36363636363636376,0.2087912087912085,0.2727272727272727
0.09090909090909083,0.0,0.09090909090909083
0.27272727272727293,0.1208791208791209,0.0
0.36363636363636376,0.2307692307692304,0.2727272727272727
0.4545454545454546,0.5274725274725278,0.5454545454545452
0.4545454545454546,0.32967032967032983,0.36363636363636354
0.36363636363636376,0.2637362637362637,0.18181818181818188
0.09090909090909083,0.0659340659340657,0.18181818181818188
0.36363636363636376,0.35164835164835173,0.2727272727272727
0.4545454545454546,0.4285714285714284,0.5454545454545452
0.36363636363636376,0.34065934065934034,0.5454545454545452
0.4545454545454546,0.4175824175824179,0.5454545454545452
0.36363636363636376,0.39560439560439553,0.5454545454545452
0.4545454545454546,0.39560439560439553,0.5454545454545452
0.5454545454545454,0.5054945054945055,0.6363636363636365
0.5454545454545454,0.4725274725274726,0.5454545454545452
0.5454545454545454,0.4285714285714284,0.5454545454545452
0.5454545454545454,0.4175824175824179,0.45454545454545436
0.36363636363636376,0.30769230769230793,0.2727272727272727
0.6363636363636362,0.4285714285714284,0.5454545454545452
0.5454545454545454,0.4175824175824179,0.5454545454545452
0.5454545454545454,0.37362637362637363,0.45454545454545436
0.4545454545454546,0.37362637362637363,0.45454545454545436
0.6363636363636362,0.4395604395604398,0.2727272727272727
0.5454545454545454,0.4945054945054945,0.6363636363636365
0.5454545454545454,0.4615384615384617,0.5454545454545452
0.36363636363636376,0.4285714285714284,0.5454545454545452
